NO,NAMA KAMERA,LOKASI,RINCIAN LOKASI,X_KOOR,Y_KOOR,JARINGAN,NVR,MERK,MODEL
338,NGAGEL BILKA TIMUR PTZ,SIMPANG,Simpang Ngagel Jaya Selatan Bilka Hadap Timur,112.755068,-7.29357,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
339,NGAGEL BILKA BARAT FIX,SIMPANG,Simpang Ngagel Jaya Selatan Bilka Hadap Barat,112.755068,-7.29357,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
340,PANDEGILING IMAM BONJOL SELATAN ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Selatan,"112,735,746","-7,276,136",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
341,PANDEGILING IMAM BONJOL BARAT ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Barat,"112,735,721","-7,276,023",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
342,PANDEGILING IMAM BONJOL TIMUR ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Timur,"112,735,809","-7,276,104",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
343,PEMUDA KAYOON FIX,SIMPANG,Simpang Pemuda Kayoon Hadap Barat,112° 44.990' E,7° 15.959' S,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
344,PEMUDA DEPAN RRI PTZ,RUAS,Jl. Pemuda Depan RRI Hadap Timur,"112,747,748","-7,265,298",TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
345,PEMUDA DEPAN MANDIRI FIX,RUAS,Jl. Pemuda Depan Mandiri Hadap Barat,"112,747,730","-7,265,208",TELKOM,PUSAT,HIKVISION,DS-2CD3T45G0-4I/SP
346,EMBONG WUNGU UTARA PTZ,SIMPANG,Simpang Pangsud - Embong Wungu Hadap Utara,"112,744,756","-7,266,663",TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
347,EMBONG WUNGU BARAT PTZ,SIMPANG,Simpang Pangsud - Embong Wungu Hadap Barat,"112,744,667","-7,266,676",TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
348,GEREJA EBEN HAEZER PANO,OBJEK VITAL,Jalan Taman Bintoro Depan Gereja Eben Haezer,112.7366359,-7.286141519,TELKOM,PUSAT,HIKVISION,DS-2CD6986F-H
349,PANDEGILING - SAM RATULANGI SELATAN FIX,SIMPANG,Simpang Pandegiling - Sam Ratulangi Hadap Selatan,"112,738,855","-7,276,797",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
350,PANDEGILING - SAM RATULANGI BARAT FIX,SIMPANG,Simpang Pandegiling - Sam Ratulangi Hadap Barat,"112,738,917","-7,276,805",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
351,PANDEGILING - SAM RATULANGI TIMUR FIX,SIMPANG,Simpang Pandegiling - Sam Ratulangi Hadap Timur,"112,738,887","-7,276,752",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
352,PANDEGILING - TEUNGKU UMAR FIX ,SIMPANG,Simpang Pandegiling - Teuku Umar  Hadap Selatan,"112,738,231","-7,276,585",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
353,GKI NGAGEL JAYA PANO,OBJEK VITAL,Ngagel Jaya Utara Depan GKI Ngagel,112.7578559,-7.289253511,TELKOM,PUSAT,HIKVISION,DS-2CD6986F-H
354,PEMUDA SUMATERA BARAT FIX,SIMPANG,Simpang Sumatera - Pemuda Hadap Barat,112.7510971,-7.266261957,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
355,PEMUDA SUMATERA TIMUR FIX,SIMPANG,Simpang Sumatera - Pemuda Hadap Timur,112.7513316,-7.266397225,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
356,SUMATERA DEPAN HOTEL SAHID DOME,SIMPANG,Simpang Sumatera - Pemuda (Bando)  Hadap Selatan,112.751364,-7.266532,TELKOM,PUSAT,Unidentified,Unidentified
357,PCTL PANGSUD INTILAND UTARA FIX,RUAS,Jl. Panglima Sudirman PCTL Intiland - UTARA,"112,742,431","-7,272,929",KOMINFO,PUSAT,SPC,SPC
358,PCTL PANGSUD INTILAND SELATAN FIX,RUAS,Jl. Panglima Sudirman PCTL Intiland - SELATAN,"112,742,431","-7,272,929",KOMINFO,PUSAT,SPC,SPC
359,PCTL TAMAN BUNGKUL HADAP SELATAN PTZ,RUAS,Unidentified,112.7390107,-7.291208,TELKOM,PUSAT,HIKVISION,Unidentified
360,PCTL TAMAN BUNGKUL HADAP UTARA FIX,RUAS,Unidentified,112.7390107,-7.291208,TELKOM,PUSAT,SPC,Unidentified
,,,,,,,,,
361,KEMBANG JEPUN KAPASAN  PTZ,RUAS, Simpang Jl. Kembang Jepun (kya kya) - Kapasan Hadap Barat,112.744459,-7.238343,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
362,SIMOKERTO KAPASAN PTZ ,SIMPANG,Simpang Jl. Kapasan - Jl Simokerto Hadap Timur,112.7528275,-7.24067534,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
363,SIMOKERTO KAPASAN SELATAN FIX ,SIMPANG,Simpang Jl. Kapasan - Jl Simokerto Hadap Selatan,112.7528275,-7.24067534,TELKOM,UTARA,HIKVISION,DS-2CD2642FWD-I
364,SIMOKERTO KAPASAN UTARA FIX,SIMPANG,Simpang Jl. Kapasan - Jl Simokerto Hadap Utara,112.7530705,-7.240628767,TELKOM,UTARA,HIKVISION,DS-2CD2642FWD-I
365,JAGALAN KALIANYAR UTARA FIX,SIMPANG,Simpang Jagalan - Kalianyar Hadap Utara,112.746985,-7.248337,KOMINFO,UTARA,HIKVISION,DS-2CD4232FWD-IZS
366,JAGALAN KALIANYAR SELATAN FIX,SIMPANG,Simpang Jagalan - Kalianyar Hadap Selatan,112.746672,-7.248337,KOMINFO,UTARA,HIKVISION,DS-2CD4232FWD-IZS
367,UNDAAN JAGALAN PTZ,SIMPANG,Simpang Undaan Jagalan Dome,"112,746,974","-7,248,421",KOMINFO,UTARA,Unidentified,DS-2DY3320IW-DE
368,PCTL INDRAPURA GKN SELATAN FIX,RUAS,PCTL indrapura Arah Masuk Kota,"112,733,417","-7,242,068",KOMINFO,UTARA,Unidentified,Unidentified
369,PCTL INDRAPURA PPPPK UTARA FIX,RUAS,PCTL indrapura Arah Keluar Kota,112.74239,"-7,240,192",KOMINFO,UTARA,Unidentified,Unidentified
370,JAGALAN PASAR BESAR TIMUR FIX ,SIMPANG,Simpang Jagalan - Pasar Besar Hadap Timur,112.74239,-7.247816,KOMINFO,UTARA,HIKVISION,DS-2CD4232FWD-IZS
371,HANG TUAH UJUNG PERAK UTARA FIX,RUAS,Bundaran Hangtuah Hadap Utara,112.741023,-7.22515,TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
372,INDRAPURA RAJAWALI FIX,SIMPANG, Simpang Rajawali - Indrapura Hadap Selatan,112.730721,-7.234497,TELKOM,UTARA,HIKVISION,MVS-414232-IRMVF
373,JEMBATAN MERAH BARAT FIX,RUAS,Jembatan Merah Hadap Barat,112.737939,-7.23661,TELKOM,UTARA,HIKVISION,MVS-414232-IRMVF
374,PAHLAWAN KEBONROJO PTZ,SIMPANG,Simpang pahlawan - Kebonrojo Hadap Utara,112.738148,-7.243338,TELKOM,UTARA,MAGIC VISION,MV-91021-IR
375,BUBUTAN TEMBAAN PANO,SIMPANG,Simpang Bubutan - Tembaan ,112.73687,-7.247082,KOMINFO,UTARA,HIKVISION,DS-2CD6986F-H
376,BUBUTAN TEMBAAN TIMUR FIX,SIMPANG,Simpang Bubutan - Tembaan Hadap Timur,112.73689,-7.24707,KOMINFO,UTARA,MAGIC VISION,MVS-414232-IRMVF
377,BUBUTAN TEMBAAN BARAT FIX,SIMPANG,Simpang Bubutan - Tembaan Hadap Barat,112.736845,-7.246917,KOMINFO,UTARA,MAGIC VISION,MVS-414232-IRMVF
378,BUBUTAN TEMBAAN SELATAN FIX,SIMPANG,Simpang Bubutan - Tembaan Hadap Selatan,"112,736,850","-7,247,113",KOMINFO,UTARA,Unidentified,Unidentified
379,GEMBLONGAN PENELEH PTZ ,SIMPANG,Simpang Gemblongan - Peneleh Hadap  Selatan,112.736832,-7.252211,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
380,BUBUTAN KEBONROJO SELATAN FIX,SIMPANG,Jl. Bubutan Kebonrojo Hadap Selatan,112.73691,-7.243592,TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
381,INDRAPURA DPRD TIMUR FIX,RUAS,Jl. Indrapura (Gedung Keuangan Negara) Hadap Timur,112.734504,-7.243032,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
382,DEMAK GRESIK PANO,SIMPANG,Simpang Gresik - Demak,"112,721,400","-7,232,342",TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
383,DUPAK PASAR TURI PTZ,SIMPANG,Simpang Dupak Pasar Turi,"112,733,788","-7,246,397",TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
384,DUPAK PASAR TURI SELATAN PTZ,SIMPANG,Simpang Dupak Pasar Turi Hadap Selatan,"112,733,833","-7,246,361",TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
385,DUPAK PASAR TURI BARAT PTZ,SIMPANG,Simpang Dupak Pasar Turi Hadap Barat,"112,733,924","-7,246,243",TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
386,DUPAK DEMAK PTZ,SIMPANG,Simpang Dupak Demak Pano,"112,720,910","-7,245,082",TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
387,DUPAK DEMAK UTARA FIX,SIMPANG,Simpang Dupak Demak Hadap Utara,"112,720,910","-7,245,082",TELKOM,UTARA,Unidentified,Unidentified
388,DUPAK DEMAK TIMUR FIX,SIMPANG,Simpang Dupak Demak Hadap Timur,"112,720,910","-7,245,082",TELKOM,UTARA,Unidentified,Unidentified
389,DUPAK RUKUN BABATAN PTZ,SIMPANG,Dupak - Dupak Rukun IV,"112,718,097","-7,245,019",TELKOM,UTARA,MAGIC VISION,MV-9048-812-SD
390,DUPAK TOL BARAT FIX,SIMPANG,Simpang Dupak Akses Tol Hadap Barat,"112,714,304","-7,244,812",TELKOM,UTARA,HIKVISION,DS-2CD4232FWD-IZS
391,DUPAK AKSES TOL SELATAN FIX,SIMPANG,Simpang Dupak Akses Tol Hadap Selatan,"112,714,103","-7,244,985",TELKOM,UTARA,HIKVISION,DS-2CD8264F-EI
392,KALIBUTUH SEMARANG BARAT FIX,SIMPANG,Simpang Kalibutuh Semarang Arjuno Hadap Barat,"112,727,733","-7,255,857",TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
393,KALIBUTUH SEMARANG TIMUR FIX,SIMPANG,Simpang Kalibutuh Semarang Arjuno Hadap Timur,"112,727,598","-7,255,915",TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
394,KALIBUTUH SEMARANG SELATAN FIX,SIMPANG,Simpang Kalibutuh Semarang Arjuno Hadap Selatan,"112,727,584","-7,256,009",TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
395,KENJERAN - TEMPUREJO UTARA FIX,SIMPANG,Simpang Kenjeran Tempurejo Hadap Utara,112.7843893,-7.249685461,KOMINFO,UTARA,HIKVISION,DS-2CD2642FWD-I
396,KENJERAN - TEMPUREJO SELATAN FIX,SIMPANG,Simpang Kenjeran Tempurejo Hadap Selatan,112.7841502,-7.249905327,KOMINFO,UTARA,HIKVISION,DS-2CD4232FWD-IZS
397,KENJERAN - TEMPUREJO TIMUR  FIX,SIMPANG,Simpang Kenjeran Tempurejo Hadap Timur,112.7842065,-7.249694532,KOMINFO,UTARA,HIKVISION,DS-2CD4232FWD-IZS
398,PINTU MASUK JEMBATAN SUROBOYO DOME,SIMPANG,Pintu Masuk Jembatan Suroboyo Dome,112.7977666,-7.240849852,KOMINFO,UTARA,HIKVISION,MS-91021-IR-SD-OD
399,PINTU MASUK JEMBATAN SUROBOYO TIMUR FIX,SIMPANG,Pintu Masuk Jembatan Suroboyo Hadap Timur,112.7952056,-7.235428538,KOMINFO,UTARA,HIKVISION,DS-2CD2642FWD-I
400,PINTU MASUK JEMBATAN SUROBOYO UTARA FIX,SIMPANG,Pintu Masuk Jembatan Suroboyo Hadap Utara,112.7950622,-7.235660403,KOMINFO,UTARA,HIKVISION,DS-2CD2642FWD-I
401,PINTU MASUK JEMBATAN SUROBOYO SELATAN FIX,SIMPANG,Pintu Masuk Jembatan Suroboyo Hadap Selatan,112.7950312,-7.235360302,KOMINFO,UTARA,Unidentified,Unidentified
402,PINTU KELUAR JEMBATAN SUROBOYO SELATAN FIX,SIMPANG,Pintu Keluar Jembatan Suroboyo Hadap Selatan,112.7976968,-7.240966357,KOMINFO,UTARA,HIKVISION,DS-2CD2642FWD-I
403,PINTU KELUAR JEMBATAN SUROBOYO UTARA FIX,SIMPANG,Pintu Keluar Jembatan Suroboyo Hadap Utara,"112,746,137","-7,226,416",KOMINFO,UTARA,Unidentified,Unidentified
404,PINTU KELUAR JEMBATAN SUROBOYO BARAT FIX,SIMPANG,Pintu Keluar Jembatan Suroboyo Hadap Barat,"112,746,137","-7,226,416",KOMINFO,UTARA,Unidentified,Unidentified
405,PAHLAWAN PASAR BESAR PTZ,SIMPANG,Simpang Pahlawan - Tembaan,112.738969,-7.247339,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
406,PAHLAWAN TEMBAAN TIMUR FIX,SIMPANG,Simpang Pahlawan - Tembaan (Bando-hadap timur),112.738985,-7.247413,KOMINFO,UTARA,HIKVISION,MVS-414232-IRMVF
407,ARJUNO TIDAR TIMUR FIX,SIMPANG,Simpang Arjuno Tidar Hadap Timur,112.7275804,-7.257099679,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
408,ARJUNO TIDAR BARAT FIX,SIMPANG,Simpang Arjuno Tidar Hadap Barat,112.7272453,-7.257003971,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
409,ARJUNO TIDAR UTARA FIX,SIMPANG,Simpang Arjuno Tidar Hadap Utara,112.7275127,-7.256932407,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
410,ARJUNO TIDAR SELATAN FIX,SIMPANG,Simpang Arjuno Tidar Hadap Selatan,112.7273957,-7.257190987,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
411,STASIUN KOTA BONGKARAN FIX,RUAS,Stasiun Kota Bongkaran (hadap timur),112.7408248,-7.242523208,TELKOM,UTARA,HIKVISION,DS-2CD4232FWD-IZS
412,PEGIRIAN  HADAP TENGAH,SIMPANG,Simpang Jalan Pegirian,112.7461617,-7.226521976,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
413,PEGIRIAN HADAP BARAT,SIMPANG,Unidentified,"112,746,137","-7,226,416",TELKOM,UTARA,Unidentified,Unidentified
414,GEMBONG TEBASAN KAPASARI UTARA FIX,SIMPANG,Simpang Gembong Tebasan Kapasari Hadap Utara,112.7513783,-7.245464748,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
415,GEMBONG TEBASAN KAPASARI BARAT FIX,SIMPANG,Simpang Gembong Tebasan Kapasari Hadap Selatan,112.7512961,-7.24564642,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
416,GEMBONG TEBASAN KAPASARISELATAN FIX,SIMPANG,Simpang Gembong Tebasan Kapasari Hadap Barat,112.7512445,-7.245535619,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
417,TERMINAL TOW SELATAN FIX,RUAS,Depan Terminal TOW Hadap Selatan,112.6548299,-7.218004576,TELKOM,UTARA,VIVOTEK,VIVOTEK
418,TERMINAL TOW PTZ,RUAS,Depan Terminal TOW,112.6549062,-7.217969852,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
419,DIPONEGORO KARTINI UTARA FIX,SIMPANG,Simpang Diponegoro Kartini Hadap Utara,"112,729,184","-7,277,967",TELKOM,UTARA,Unidentified,Unidentified
420,DIPONEGORO KARTINI SELATAN FIX,SIMPANG,Simpang Diponegoro Kartini Hadap Selatan,"112,729,149","-7,278,119",TELKOM,UTARA,Unidentified,Unidentified
421,MARGOMULYO KALIANAK PTZ,SIMPANG,Simpang Kalianak-Greges-Margomulyo ,112.6825379,-7.229739476,TELKOM,UTARA,MAGIC VISION,DS-2DM1-612H
422,MARGOMULYO KALIANAK BARAT,SIMPANG,Unidentified,"112,682,502","-7,229,682",TELKOM,UTARA,Unidentified,Unidentified
423,MARGOMULYO KALIANAK SELATAN,SIMPANG,Unidentified,"112,682,682","-7,229,792",TELKOM,UTARA,Unidentified,Unidentified
424,ROMOKALISARI GRESIK FIX,SIMPANG,Simpang Romokalisari - TOW Hadap Luar Kota,112.6459328,-7.196088209,TELKOM,UTARA,MAGIC VISION,MVS-414232-IRMVF
425,ROMOKALISARI GRESIK TIMUR FIX,SIMPANG,Unidentified,"112,646,265","-7,196,941.00",TELKOM,UTARA,Unidentified,Unidentified
426,BALONGSARI TANDES PTZ,SIMPANG,Balongsari (Bibis-Margomulyo-Tandes),112.6791263,-7.258386984,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
427,TANJUNGSARI DOME,SIMPANG,Simpang Raya Tandes-Sukomanunggal-Tanjungsari,112.6923954,-7.260789538,TELKOM,UTARA,MAGIC VISION,DS-2DM1-612H
428,BUNDARAN MARGOMULYO SPBU PTZ,SIMPANG,Manukan Margomulyo A ( Margomulyo-Tandes ),112.6924326,-7.260968246,TELKOM,UTARA,MAGIC VISION,DS-2DY3320IW-DE
429,NGAGLIK KAPASARI PTZ,SIMPANG,Simpang Jl. Kusuma Bangsa - Jl. Kapasari,"112,750,468","-7,248,868",KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
430,NGAGLIK KALIANAYAR BARAT FIX,SIMPANG,Simpang Jl. Kusuma Bangsa - Jl. Kapasari Hadap Barat,"112,750,158","-7,248,836",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
431,KUSUMA BANGSANGAGLIK SELATAN FIX,SIMPANG,Simpang Jl. Kusuma Bangsa - Jl. Kapasari Hadap Selatan,"112,750,154","-7,249,126",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
432,PECINDILAN PENGAMPON SELATAN FIX,SIMPANG,Simpang Pecindilan Pengampon Hadap Selatan,112.7471524,-7.244774591,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
433,PECINDILAN PENGAMPON BARAT FIX,SIMPANG,Simpang Pecindilan Pengampon Hadap Barat,112.7472303,-7.244548265,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
434,PECINDILAN PENGAMPON PANO,SIMPANG,Simpang Pecindilan Pengampon,112.7473158,-7.244722467,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
435,JAKARTA PERAK BARAT FIX,SIMPANG,JL. Jakarta Perak Barat Hadap Barat,"112,732,121","-7,222,886",TELKOM,UTARA,Unidentified,Unidentified
436,KENJERAN TAMBAKREJO BARAT FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Tambakrejo Hadap Barat,112.7590076,-7.24258945,TELKOM,UTARA,HIKVISION,DS-2CD4232FWD-IZS
437,KENJERAN TAMBAKREJO TIMUR FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Tambakrejo Hadap Timur,112.7592246,-7.2427228,TELKOM,UTARA,HIKVISION,DS-2CD4232FWD-IZS
438,KENJERAN MAKAM WR SOEPRATMAN PTZ,RUAS,Jl. Kenjeran Makam WR Supratman,112.7611461,-7.243364067,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
439,KENJERAN KD COWEK BARAT FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Kedung Cowek (sisi barat),"112,768,827","-7,245,276",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
440,KENJERAN KD COWEK SELATAN FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Kedung Cowek (sisi selatan),"112,768,855","-7,245,501",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
441,KENJERAN KD COWEK TIMUR FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Kedung Cowek (sisi timur),"112,769,099","-7,245,473",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
442,KENJERAN KD COWEK UTARA FIX,SIMPANG,Simpang Jl. Kenjeran - Jl. Kedung Cowek (sisi utara),"112,769,091","-7,245,285",KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
443,KENJERAN KD COWEK PTZ,SIMPANG,Simpang Jl. Kenjeran - Jl. Kedung Cowek,"112,768,712","-7,245,321",KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
444,KEDUNG COWEK SMA 19 FIX,OBJEK VITAL,Jl. Kedung Cowek - Kedinding SMA 19 Hadap Masuk Kota,112.7770361,-7.221847222,KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
445,KEDUNG COWEK SAMSAT FIX,RUAS,Jl. Kedung Cowek Depan Samsat Hadap Masuk Kota,112.7763861,-7.222675,KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
446,TAMBAK WEDI BARU FIX,RUAS,Jl. Tambak Wedi Baru Hadap Keluar Kota,112.7771139,-7.217891667,KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
447,TAMBAK WEDI LAMA FIX,RUAS,Jl. Tambak Wedi Lama Hadap Timur,112.7782083,-7.210922222,KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
448,SURAMADU BOSEM FIX,RUAS,Kedung Cowek Suramadu Bozem Hadap Barat,112.7793111,-7.211138889,KOMINFO,UTARA,HIKVISION,DS-2CD7A85G0-IZSP/AI
449,JEMBATAN SURAMADU PTZ,RUAS,Jembatan Suramadu,112.7785361,-7.208633333,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
450,JEMBATAN SURAMADU FIX,RUAS,Jembatan Suramadu Hadap Selatan,112.7785361,-7.208633333,KOMINFO,UTARA,Unidentified,Unidentified
451,NAMBANGAN PTZ,RUAS,Jl. Nambangan (Sentra Ikan Bulak),112.787721,-7.225978,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
452,TAMBAKREJO KRAMPUNG TIMUR FIX,SIMPANG,Simpang Tambak Rejo - Kapas Krampung (hadap timur),112.757653,-7.24869,KOMINFO,UTARA,HIKVISION,MVS-414232-IRMVF
453,TAMBAKREJO KRAMPUNG BARAT FIX,SIMPANG,Simpang Tambak Rejo - Kapas Krampung (hadap barat ),112.757554,-7.24865,KOMINFO,UTARA,HIKVISION,MVS-414232-IRMVF
454,TAMBAKREJO KRAMPUNG DOME,SIMPANG,Simpang Tambak Rejo - Kapas Krampung,112.757646,-7.248661,KOMINFO,UTARA,MAGIC VISION,MS-91021-IR-SD-OD
455,KP KRAMPUNG PUTRO AGUNG BARAT FIX,SIMPANG,Simpang Jl. Kapas Kerampung - Jl. Putro Agung sisi barat ,112.767583,-7.251157,KOMINFO,UTARA,HIKVISION,MV-9048-812-SD
456,KP KRAMPUNG PUTRO AGUNG TIMUR FIX,SIMPANG,Simpang Jl. Kapas Kerampung - Jl. Putro Agung sisi timur,112.767816,-7.251114,KOMINFO,UTARA,HIKVISION,MV-9048-812-SD
457,NGAGLIK TAMBAK SARI PTZ,SIMPANG,Simpang Jl. Ngaglik - Tambak sari (kantor Polisi),112.755581,-7.249341,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
458,KALASAN PTZ,SIMPANG,Simpang Kalasan - Pacar Keling Hadap Timur,112.756805,-7.259368,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
459,PAHLAWAN GUBERNURAN PTZ,SIMPANG,Pulau Jalan Jl. Bubutan - Jl. Pahlawan Hadap Utara,"112,738,697","-7,246,596",KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
460,BUBUTAN PAHLAWAN UTARA FIX,SIMPANG,Simpang Bubutan - Pahlawan Hadap Utara,"112,738,697","-7,246,596",KOMINFO,UTARA,Unidentified,Unidentified
461,SDN PACAR KELING PANO,OBJEK VITAL,"Pertigaan SDN Pacar Keling 5,6,7,8 ",112.7549752,-7.258491632,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
462,SDN GUNDIH PANO,OBJEK VITAL,Jl. Dupak (SDN Gundih) ,112.7259259,-7.24529625,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
463,SDN RANGKAH 1 PANO,OBJEK VITAL,Jl. Kapas Krampung depan PCTL SD Rangkah (SDN Rangkah 4),112.7599761,-7.249131176,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
464,PERAK KREMBANGAN PTZ,SIMPANG,Simpang Perak Krembangan,112.728429,-7.232449,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
465,PERAK KREMBANGAN UTARA FIX,SIMPANG,Simpang Perak Krembangan Hadap Utara,112.728429,-7.232449,KOMINFO,UTARA,MAGIC VISION,MV-90202-SD
466,SDN BUBUTAN 4 PANO,OBJEK VITAL,Depan SDN Bubutan 4 Jl. Semarang,112.7292785,-7.251385418,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
467,SIDOTOPO WETAN PANO,SIMPANG,Simpang Sidotopo Wetan - Sidoyoso,112.7581895,-7.238886183,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
468,BUBUTAN PENGHELA PTZ,RUAS,Jl. Bubutan - Jl. Penghela,112.7363,-7.249079,TELKOM,UTARA,HIKVISION,DS-2DY3320IW-DE
469,GEREJA PANTEKOSTA PERAK PANO,OBJEK VITAL,Gereja Pantekosta Perak - Jalan Jakarta Perak Timur,"112,733,305","-7,224,161",TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
470,EXIT JEMBATAN SURAMADU PTZ,RUAS,Unidentified,"11,277,858","-7,212,849",KOMINFO,UTARA,Unidentified,Unidentified
471,PERTIGAAN TEMBOK DUKUH PANO,RUAS,Simpang Tembok Dukuh - Dupak - Kalibutuh,"112,720,263","-7,254,763",TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
472,PCTL SMPN 5 PANO,RUAS,Jl. Rajawali PCTL SMPN 5 Surabaya,"112,731,516","-7,234,475",TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
473,SMP HANG TUAH PANO,OBJEK VITAL,SMP Hang Tuah Jl. Indragiri - Jl. Bogowonto,112.7316112,-7.289564952,TELKOM,UTARA,HIKVISION,DS-2CD6986F-H
474,BASRAH GRAMEDIA EXPO PTZ,RUAS,Basuki Rahmad depan PCTL Gramedia Expo,112.7416143,-7.269421812,KOMINFO,UTARA,HIKVISION,DS-2DY3320IW-DE
,,,,,,,,,
475,MERR KENJERAN SELATAN PTZ,SIMPANG,Simpang Jl. Kenjeran - MERR Hadap Selatan,112.784415,-7.249614,KOMINFO,TIMUR,HIKVISION,DS-2DY3320IW-DE
476,MERR KENJERAN DOME,SIMPANG,Simpang Jl. Kenjeran - MERR,112.784144,-7.249936,KOMINFO,TIMUR,MAGIC VISION,MS-91021-IR-SD-OD
477,MERR KALIJUDAN PANO,SIMPANG,Simpang Merr - Jl. Kalijudan,"112,782,393","-7,255,005",KOMINFO,TIMUR,HIKVISION,DS-2CD6986F-H
478,MERR MULYOREJO DOME,SIMPANG,Simpang MERR - Sutorejo (Mulyorejo-MERR),112.7830537,-7.263373922,KOMINFO,TIMUR,MAGIC VISION,MV-91021-IR
